iter	Passed	Remaining
425	1547	2084
426	1549	2079
427	1555	2079
428	1558	2074
429	1560	2068
430	1562	2063
431	1565	2057
432	1568	2054
433	1571	2049
434	1573	2043
435	1575	2038
436	1577	2032
437	1580	2027
438	1584	2024
439	1586	2019
440	1588	2014
441	1591	2008
442	1594	2004
443	1597	1999
444	1600	1995
445	1602	1990
446	1604	1984
447	1606	1979
448	1608	1973
449	1610	1967
450	1613	1964
451	1615	1958
452	1617	1952
453	1619	1947
454	1621	1941
455	1623	1936
456	1624	1930
457	1628	1927
458	1630	1921
459	1632	1916
460	1634	1910
461	1635	1905
462	1637	1899
463	1639	1894
464	1644	1891
465	1646	1886
466	1648	1881
467	1651	1876
468	1653	1872
469	1659	1871
470	1661	1866
471	1663	1861
472	1665	1855
473	1667	1850
474	1669	1845
475	1673	1842
476	1675	1837
477	1677	1831
478	1679	1826
479	1681	1821
480	1683	1816
481	1685	1810
482	1688	1807
483	1690	1802
484	1692	1797
485	1694	1791
486	1696	1786
487	1698	1781
488	1700	1776
489	1703	1772
490	1705	1767
491	1707	1762
492	1709	1757
493	1711	1752
494	1712	1747
495	1714	1742
496	1718	1739
497	1720	1734
498	1722	1729
499	1724	1724
500	1726	1719
501	1728	1714
502	1731	1711
503	1734	1706
504	1736	1701
505	1738	1697
506	1740	1692
507	1742	1687
508	1745	1683
509	1748	1679
510	1750	1675
511	1752	1670
512	1754	1666
513	1757	1661
514	1763	1660
515	1766	1656
516	1768	1652
517	1770	1647
518	1772	1643
519	1777	1641
520	1780	1636
521	1782	1632
522	1784	1627
523	1786	1623
524	1789	1618
525	1794	1616
526	1797	1613
527	1800	1609
528	1804	1606
529	1806	1602
530	1809	1598
531	1811	1593
532	1813	1589
533	1815	1584
534	1819	1581
535	1822	1577
536	1824	1573
537	1826	1568
538	1828	1564
539	1831	1560
540	1836	1557
541	1838	1553
542	1840	1549
543	1843	1545
544	1845	1541
545	1850	1538
546	1852	1534
547	1854	1529
548	1856	1524
549	1858	1520
550	1860	1515
551	1862	1511
552	1866	1508
553	1868	1503
554	1870	1499
555	1871	1494
556	1874	1490
557	1876	1486
558	1881	1484
559	1883	1479
560	1884	1475
561	1886	1470
562	1888	1466
563	1890	1461
564	1892	1457
565	1895	1453
566	1897	1448
567	1899	1444
568	1901	1440
569	1903	1435
570	1904	1431
571	1906	1426
572	1910	1423
573	1911	1418
574	1913	1414
575	1917	1411
576	1920	1407
577	1924	1405
578	1927	1401
579	1929	1397
580	1932	1393
581	1933	1389
582	1935	1384
583	1939	1381
584	1941	1377
585	1943	1372
586	1945	1368
587	1947	1364
588	1948	1359
589	1950	1355
590	1955	1353
591	1957	1348
592	1959	1344
593	1961	1340
594	1964	1336
595	1966	1332
596	1971	1331
597	1974	1327
598	1976	1323
